category,value
Smart home,101.2
Smart home,16.3
Smart home,134.0
Pet,17.9
Pet,17.9
Pet,15.6
Pet,15.6
Pet,18.1
Personalized gifts,17.9
Personalized gifts,16.3
Personalized gifts,15.6
Personalized gifts,15.6
Personalized gifts,18.1
Personalized gifts,16.1
Personalized gifts,16.1
Personalized gifts,16.3
Personalized gifts,15.6
Outdoor,17.9
Outdoor,16.3
Outdoor,15.6
Outdoor,19.1
Outdoor,154.1
Outdoor,134.0
Outdoor,83.0
Outdoor,16.1
Outdoor,84.0
Outdoor,135.9
Outdoor,18.1
Outdoor,71.2
Outdoor,16.1
More,16.3
More,16.1
More,35.6
More,15.6
More,35.6
More,134.0
More,15.6
More,35.6
More,33.0
Kitchen,16.3
Kitchen,83.5
Kitchen,88.1
Kitchen,100.7
Kitchen,39.8
Kitchen,66.5
Kitchen,152.7
Kitchen,168.4
Kitchen,18.1
Kitchen,53.1
Kitchen,69.3
Kitchen,123.2
Kitchen,84.0
Home decor,16.1
Home decor,53.1
Home decor,88.7
Home decor,84.0
Home decor,100.7
Home decor,101.8
Home decor,100.1
Home decor,134.0
Home decor,84.0
Home decor,84.0
Home decor,66.5
Home decor,66.5
Holiday,34.6
Health and beauty,15.6
Health and beauty,16.3
Health and beauty,15.6
Health and beauty,105.2
Health and beauty,16.3
Health and beauty,66.5
Health and beauty,16.3
Health and beauty,134.0
Health and beauty,175.0
Health and beauty,16.3
Health and beauty,32.0
Health and beauty,83.0
Health and beauty,17.9
Health and beauty,16.3
Health and beauty,66.5
Health and beauty,15.6
Furniture,35.6
Furniture,100.7
Furniture,66.5
Furniture,152.7
Furniture,118.2
Furniture,106.4
Furniture,150.7
Furniture,88.1
Furniture,88.7
Furniture,33.0
Dining,84.0
Dining,101.8
Dining,15.6
Dining,152.1
Dining,157.6
Dining,17.4
Dining,101.8
Dining,100.1
Curtains and windows,139.9
Curtains and windows,140.5
Curtains and windows,168.4
Curtains and windows,16.1
College,67.4
College,120.1
College,16.3
College,157.6
College,117.6
College,15.6
College,17.9
College,66.5
College,49.5
College,67.4
Cleaning and storage,106.4
Cleaning and storage,70.2
Cleaning and storage,18.1
Cleaning and storage,15.6
Cleaning and storage,123.2
Cleaning and storage,134.0
Cleaning and storage,15.6
Cleaning and storage,32.7
Cleaning and storage,83.5
Cleaning and storage,83.5
Bed,15.4
Bed,18.9
Bed,17.0
Bed,51.9
Bed,32.0
Bed,66.1
Bed,16.7
Bed,15.4
Bed,52.3
Bed,48.7
Bed,15.6
Bed,17.0
Bed,65.1
Bed,34.0
Bed,32.0
Bed,15.4
Bed,15.0
Bath,96.8
Bath,123.2
Bath,16.1
Bath,150.7
Bath,18.1
Bath,118.2
Bath,106.4
Bath,100.7
Bath,83.5
Baby and kids,83.0
Baby and kids,16.3
Baby and kids,84.0
Baby and kids,16.3
Baby and kids,105.2
Baby and kids,53.1
Baby and kids,32.7
Baby and kids,101.2
Baby and kids,17.9
Baby and kids,16.1
Baby and kids,88.1
Baby and kids,15.6
Baby and kids,66.5
