Platform,Type,Company,Released,Units sold
Color TV-Game,Dedicated,Nintendo,1977,3000000
Game & Watch,Dedicated handheld,Nintendo,1980,43400000
NES/Famicom,Home,Nintendo,1983,61910000
Famicom Disk System,Home console add-on,Nintendo,1986,4500000
Game Boy & Game Boy Color,Handheld,Nintendo,1989,118690000
SNES/Super Famicom,Home,Nintendo,1990,49100000
PlayStation,Home,Sony,1994,102490000
Nintendo 64,Home,Nintendo,1996,32930000
PlayStation 2,Home,Sony,2000,155000000
Xbox,Home,Microsoft,2001,24000000
Game Boy Advance,Handheld,Nintendo,2001,81510000
GameCube,Home,Nintendo,2001,21740000
PlayStation Portable,Handheld,Sony,2004,82000000
Nintendo DS,Handheld,Nintendo,2004,154020000
Xbox 360,Home,Microsoft,2005,84000000
Wii,Home,Nintendo,2006,101630000
PlayStation 3,Home,Sony,2006,87400000
Nintendo 3DS,Handheld,Nintendo,2011,75940000
PlayStation Vita,Handheld,Sony,2011,15000000
Wii U,Home,Nintendo,2012,13560000
PlayStation 4,Home,Sony,2013,117200000
Xbox One,Home,Microsoft,2013,58000000
NES Classic Edition,Dedicated,Nintendo,2016,3560000
Super NES Classic Edition,Dedicated,Nintendo,2017,5280000
Nintendo Switch,Hybrid,Nintendo,2017,132460000
Xbox Series X/S,Home,Microsoft,2020,21000000
PlayStation 5,Home,Sony,2020,50000000
